"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal State and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Christian Health Care Center","Christian Health Care Center","20200506","grant","$1661069","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Christian Hospital","Christian Hospital","20200508","grant","$12481965","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Missouri","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Christian Hospital Northeast Northwest","Christian Hospital Northeast Northwest","20200506","grant","$4587956","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Christiana Care Health Services Inc","Christiana Care Health Services Inc","20200506","grant","$35618488","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Delaware","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Christiana Care Home Health And Community Services Inc.","Christiana Care Home Health And Community Services Inc.","20200506","grant","$1865521","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Delaware","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Christiana Hospital","Christiana Hospital","20200508","grant","$21165464","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Delaware","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Christie Clinic","Christie Clinic","20200506","grant","$2408119","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Christus Good Shepherd Medical Center","CHRISTUS Health","20200506","grant","$6645309","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Health Ark-La-Tex","CHRISTUS Health","20200506","grant","$7402815","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Health Central Louisiana","CHRISTUS Health","20200506","grant","$5840762","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Health Northern Louisiana","CHRISTUS Health","20200506","grant","$4849764","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Health Southeast Texas","CHRISTUS Health","20200506","grant","$5676190","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Health Southwestern Louisiana","CHRISTUS Health","20200506","grant","$4846054","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Hopkins Health Alliance","CHRISTUS Health","20200506","grant","$1714997","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Santa Rosa Health Care Corporation","CHRISTUS Health","20200506","grant","$7618420","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Spohn Health System Corporation","CHRISTUS Health","20200506","grant","$9017317","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Christus Trinity Clinic","CHRISTUS Health","20200506","grant","$3805558","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","hospitals","0","0","54048","","0","16740000","7080","0","","$0","$0","0"
"Chs Physician Partners Pc","Chs Physician Partners Pc","20200506","grant","$4024874","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chs Professional Practice Inc","Chs Professional Practice Inc","20200506","grant","$714020","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Accredo Health Group Inc","Cigna","20200506","grant","$40913020","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","publicly traded","CI","Connecticut","USA","healthcare services","managed care","73700","0","43402856","26.80%","161836042","8403500","3527625","68449000","306.7 to 1","$19303032","$62946","0"
"Cinedigm Corp","Cinedigm Corp","20200415","loan","$0","$2151800","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1173204/000110465920048754/tm2016415d1_8k.htm",""," ","","Cinedigm is majority-owned by Hong Kong-based Bison Capital.","publicly traded","CIDM","New York","USA","entertainment","film distributor","104","0","0","","0","0","0","0","","$1043697","$0","0"
"Cipherloc Corporation","Cipherloc Corporation","20200421","loan","$0","$365430","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1022505/000149315220007161/form8-k.htm",""," ","","","publicly traded","CLOK","Texas","USA","information technology","encryption technology","11","0","0","","0","0","0","0","","$1060200","$0","0"
"Circle Of Life","Circle Of Life","20200506","grant","$840378","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Arkansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Citizens Medical Center County Of Victoria","Citizens Medical Center County Of Victoria","20200506","grant","$4055476","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Citizens Medical Center Inc","Citizens Medical Center Inc","20200506","grant","$747665","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Citizens Memorial Health Care Foundation","Citizens Memorial Health Care Foundation","20200506","grant","$608649","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Citizens Memorial Hospital District","Citizens Memorial Hospital District","20200506","grant","$2837672","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Citrus Cardiology Consultants Pa","Citrus Cardiology Consultants Pa","20200506","grant","$998386","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Citrus Hma Llc","Citrus Hma Llc","20200506","grant","$1937697","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
